Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Quizartinib1_48h_1	(1.0, 42.055234684634115)	(2.0, 13.365764205974987)	(3.0, 5.739438611966183)	(4.0, 3.1495639467071235)	(5.0, 2.096904618100364)	(6.0, 1.5491430724873636)	(7.0, 1.1704823729905385)	(8.0, 0.88262865206927)	(9.0, 0.7927275371794085)	('>10', 7.163634881000383)	('>50', 2.207507358464778)	('>100', 5.174293726044695)	('>500', 2.2274764600563524)	('>1k', 3.994109466100183)	('>5k', 1.9458068597478488)	('>10k+', 6.485283546476335)
Quizartinib1_48h_2	(1.0, 45.914445640337554)	(2.0, 13.143618811616633)	(3.0, 5.428775175865304)	(4.0, 2.935260532440721)	(5.0, 1.7669092151641024)	(6.0, 1.2632434295901434)	(7.0, 0.896900915955123)	(8.0, 0.7116921955133647)	(9.0, 0.5293829461415406)	('>10', 5.771223218584039)	('>50', 2.339044155663262)	('>100', 5.156295607282138)	('>500', 1.8557960716315973)	('>1k', 3.9426318350409524)	('>5k', 1.8809657483790032)	('>10k+', 6.463814500794318)
Quizartinib2_48h_1	(1.0, 43.21942930455796)	(2.0, 13.157735479198157)	(3.0, 5.647766561277279)	(4.0, 3.2286141076983714)	(5.0, 2.1474442389229)	(6.0, 1.558833447406804)	(7.0, 1.2128213177746447)	(8.0, 0.9178633111425398)	(9.0, 0.75845504174098)	('>10', 7.158339333718583)	('>50', 2.077429631875883)	('>100', 4.952098870144004)	('>500', 2.0992114557154395)	('>1k', 3.8030513237032575)	('>5k', 1.683133153004933)	('>10k+', 6.377773422118281)
Quizartinib2_48h_2	(1.0, 49.49762889457725)	(2.0, 12.603291601931316)	(3.0, 5.058787232741967)	(4.0, 2.7322034190170594)	(5.0, 1.7074165324594226)	(6.0, 1.1837997001251308)	(7.0, 0.8644828108958826)	(8.0, 0.6649117621099593)	(9.0, 0.5282722697810773)	('>10', 5.565362292122159)	('>50', 2.2257612917273604)	('>100', 4.811211748478401)	('>500', 1.70281080963725)	('>1k', 3.55947785961285)	('>5k', 1.4902379028972659)	('>10k+', 5.804343871885556)
Quizartinib3_48h_1	(1.0, 36.16727505525347)	(2.0, 13.174851395985382)	(3.0, 6.03776741289715)	(4.0, 3.411485156068719)	(5.0, 2.2855096440594354)	(6.0, 1.6543707509606491)	(7.0, 1.350309292128354)	(8.0, 1.038730318146361)	(9.0, 0.8373128905688412)	('>10', 8.328125270121966)	('>50', 2.404414643354971)	('>100', 5.830534866651066)	('>500', 2.5876189968637426)	('>1k', 4.641437474026143)	('>5k', 2.0372491224709064)	('>10k+', 8.213007710442707)
Quizartinib3_48h_2	(1.0, 39.45429854291158)	(2.0, 13.25377351279611)	(3.0, 5.875813613410533)	(4.0, 3.172568366246071)	(5.0, 2.020714459316271)	(6.0, 1.4074400949066952)	(7.0, 1.0390661925742568)	(8.0, 0.842111360849338)	(9.0, 0.6865222693287711)	('>10', 6.674824490799377)	('>50', 2.576444412413882)	('>100', 6.08385272073983)	('>500', 2.2139284248060123)	('>1k', 4.326813748338369)	('>5k', 2.0527395228647656)	('>10k+', 8.319088267698346)
Untreated1_1	(1.0, 24.274525496014228)	(2.0, 14.667413756394106)	(3.0, 8.121617685109673)	(4.0, 4.727371476014187)	(5.0, 3.155452047189123)	(6.0, 2.429981941581503)	(7.0, 1.8380280862096108)	(8.0, 1.512612914915763)	(9.0, 1.253953015788471)	('>10', 13.693481970196105)	('>50', 4.308706661697758)	('>100', 9.441448383266872)	('>500', 3.8011248863493567)	('>1k', 5.659510532651482)	('>5k', 0.8032828868874168)	('>10k+', 0.3114882597343149)
Untreated2_1	(1.0, 20.572683663145973)	(2.0, 14.365092025693329)	(3.0, 8.575704823952494)	(4.0, 5.2200944700102285)	(5.0, 3.4354700178365873)	(6.0, 2.4017372607236416)	(7.0, 1.935017553498785)	(8.0, 1.5094522379969413)	(9.0, 1.2736287023586463)	('>10', 13.951326297118506)	('>50', 4.4289781508349595)	('>100', 10.308479144132784)	('>500', 4.042854220684671)	('>1k', 6.482595122575038)	('>5k', 1.1120425039757316)	('>10k+', 0.38484380546169694)
