Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
Quizartinib1_48h_1	(1, 36.23481689712745)	(2, 36.012676702618265)	(3, 36.18744174509862)	(4, 36.299483080048645)	(5, 36.33685042503413)	(6, 36.33765496326935)	(7, 36.26724964737231)	(8, 36.333432528471796)	(9, 36.33567149951234)	(10, 36.37748256921355)	(11, 36.38934533202638)	(12, 36.37338914476481)	(13, 36.37508184748697)	(14, 36.35754270296117)	(15, 36.368839247257746)	(16, 36.35702480047327)	(17, 36.37079416009235)	(18, 36.369805188880434)	(19, 36.371747628238836)	(20, 36.37136225024169)	(21, 36.374198234337086)	(22, 36.351434686909606)	(23, 36.34304606146667)	(24, 36.33470256528956)	(25, 36.328270848384214)	(26, 36.286644222577046)	(27, 36.28177819626739)	(28, 36.28172903158143)	(29, 36.273062857070954)	(30, 36.26565130060589)	(31, 36.27042377012942)	(32, 36.26041743721761)	(33, 36.251287016893485)	(34, 36.2454018429001)	(35, 36.24605898430853)	(36, 36.24189279967216)	(37, 36.23840789254904)	(38, 36.23223735732831)	(39, 36.21949714955354)	(40, 36.217672871877404)	(41, 36.21839019489487)	(42, 36.20163851762312)	(43, 36.20027901460465)	(44, 36.191883257304454)	(45, 36.183421303771865)	(46, 36.19730548733998)	(47, 36.179794792459155)	(48, 36.17023154257067)	(49, 36.17210239018078)	(50, 36.168507691484145)	(51, 36.17124174680637)	(52, 36.18035430627701)	(53, 36.098706061004805)
Quizartinib1_48h_2	(1, 35.348710008325824)	(2, 35.397046410869024)	(3, 35.65675918254885)	(4, 35.73510685118366)	(5, 35.79946544897742)	(6, 35.75961160917947)	(7, 35.74037654905627)	(8, 35.83801982744908)	(9, 35.855118089989304)	(10, 35.84518740619615)	(11, 35.8630719962379)	(12, 35.86786805654776)	(13, 35.85873294061184)	(14, 35.86824388731991)	(15, 35.82952528959096)	(16, 35.85286149029464)	(17, 35.82740476727997)	(18, 35.82734172833455)	(19, 35.82473631566984)	(20, 35.85274722465568)	(21, 35.84164590375524)	(22, 35.83702104887146)	(23, 35.82095806157649)	(24, 35.80480293047931)	(25, 35.79594616039782)	(26, 35.79712964328859)	(27, 35.776574411278865)	(28, 35.77513426063282)	(29, 35.76671434974181)	(30, 35.75162047949135)	(31, 35.75286791373715)	(32, 35.72932820644985)	(33, 35.72616306691426)	(34, 35.72313836022991)	(35, 35.710270081091195)	(36, 35.71785324517238)	(37, 35.715353031383714)	(38, 35.71210200632446)	(39, 35.68055637777932)	(40, 35.6998791478361)	(41, 35.68969295838162)	(42, 35.69090254597617)	(43, 35.66546307388301)	(44, 35.678883965472714)	(45, 35.656546709261924)	(46, 35.67736829838501)	(47, 35.648240230048366)	(48, 35.626601523832484)	(49, 35.64705189680833)	(50, 35.62865218402984)	(51, 35.58779163727786)	(52, 35.59883529283715)	(53, 35.60100349820302)
Quizartinib2_48h_1	(1, 36.02626854253623)	(2, 35.80407097811469)	(3, 35.974219466111535)	(4, 36.086280777760905)	(5, 36.12482137581464)	(6, 36.1235665135621)	(7, 36.05462903369948)	(8, 36.11683517376041)	(9, 36.32883395664675)	(10, 36.374538046792985)	(11, 36.38877449357825)	(12, 36.37005352239108)	(13, 36.37242155527642)	(14, 36.356430778909875)	(15, 36.367064618988366)	(16, 36.35692939641259)	(17, 36.36909712114865)	(18, 36.36826990627451)	(19, 36.3711843255741)	(20, 36.368842611577904)	(21, 36.371094935250305)	(22, 36.34830701871443)	(23, 36.33938604450749)	(24, 36.330837937865084)	(25, 36.32514673556488)	(26, 36.2845874323071)	(27, 36.279079178219284)	(28, 36.27721011041388)	(29, 36.26882200163142)	(30, 36.26331960883341)	(31, 36.26614992480303)	(32, 36.257366537692235)	(33, 36.24679912083351)	(34, 36.24214931248398)	(35, 36.24173387327405)	(36, 36.238631988845185)	(37, 36.23690210943192)	(38, 36.23063471159333)	(39, 36.21738981639172)	(40, 36.216005753613786)	(41, 36.21624563089693)	(42, 36.19936828265405)	(43, 36.19432277778683)	(44, 36.18856931425169)	(45, 36.17685226421575)	(46, 36.19321035006764)	(47, 36.17822523408883)	(48, 36.16448986149754)	(49, 36.16335165372135)	(50, 36.16000492911225)	(51, 36.161950958518474)	(52, 36.17177661642847)	(53, 36.091860520518594)
Quizartinib2_48h_2	(1, 35.28136516007185)	(2, 35.17402311168864)	(3, 35.32834356959766)	(4, 35.39803255688117)	(5, 35.46182947277298)	(6, 35.40748779636688)	(7, 35.363727601495285)	(8, 35.39399478407188)	(9, 35.39161571161111)	(10, 35.38479056285795)	(11, 35.420791393800435)	(12, 35.382353709901636)	(13, 35.38015893730713)	(14, 35.38948663139175)	(15, 35.34730073450062)	(16, 35.376848553238396)	(17, 35.356468860843435)	(18, 35.3520851080523)	(19, 35.3493691167164)	(20, 35.34719735367543)	(21, 35.34653795184337)	(22, 35.35311120298183)	(23, 35.33940559141326)	(24, 35.298008535140575)	(25, 35.27040370609202)	(26, 35.261280384533656)	(27, 35.24346915500956)	(28, 35.22757225900777)	(29, 35.22760406820057)	(30, 35.20379872122612)	(31, 35.20575640371107)	(32, 35.164317398172535)	(33, 35.17449798270307)	(34, 35.16771333051622)	(35, 35.15267277464625)	(36, 35.16097776409671)	(37, 35.15718764376957)	(38, 35.15301605608518)	(39, 35.124603846467366)	(40, 35.1523572415457)	(41, 35.156901687944554)	(42, 35.14348413580857)	(43, 35.130675261480185)	(44, 35.13266712111124)	(45, 35.09236022428206)	(46, 35.113355107850545)	(47, 35.07970125447769)	(48, 35.06636366550238)	(49, 35.07595523494188)	(50, 35.06517090743973)	(51, 35.00791038062854)	(52, 35.01358401595425)	(53, 35.04365916396412)
Quizartinib3_48h_1	(1, 36.24327117929044)	(2, 36.03020332778124)	(3, 36.199704182868935)	(4, 36.305679996293655)	(5, 36.343210706170126)	(6, 36.344591475673326)	(7, 36.27776939048886)	(8, 36.34024727826411)	(9, 36.34588551802963)	(10, 36.38912847209674)	(11, 36.39872543353026)	(12, 36.38376516745879)	(13, 36.38568704981553)	(14, 36.36991092032951)	(15, 36.38195055926913)	(16, 36.370151913186966)	(17, 36.38168204660847)	(18, 36.38164751059268)	(19, 36.383257642257256)	(20, 36.38398615328418)	(21, 36.38556088328472)	(22, 36.36341470908423)	(23, 36.35349304785955)	(24, 36.346273034316944)	(25, 36.34155108872273)	(26, 36.301956649755034)	(27, 36.29210892596023)	(28, 36.290388679280426)	(29, 36.28187573753305)	(30, 36.2811278842337)	(31, 36.2830579050547)	(32, 36.273239870128705)	(33, 36.26640412073043)	(34, 36.25982041514634)	(35, 36.261494442138556)	(36, 36.25904574959339)	(37, 36.25669516487152)	(38, 36.25001518521574)	(39, 36.23489047069122)	(40, 36.23084465708501)	(41, 36.23255766330446)	(42, 36.211239712448254)	(43, 36.195290603760746)	(44, 36.199821011773736)	(45, 36.177351099040415)	(46, 36.209772475838896)	(47, 36.19491752834067)	(48, 36.179002217494556)	(49, 36.188535770031656)	(50, 36.191526266355545)	(51, 36.19594242509143)	(52, 36.20406260440107)	(53, 36.12076706626739)
Quizartinib3_48h_2	(1, 35.55954025282442)	(2, 35.578962459445144)	(3, 35.79214686927426)	(4, 35.861427036451815)	(5, 35.919477757251315)	(6, 35.87435307125493)	(7, 35.85918514307963)	(8, 35.94845830294828)	(9, 35.955258840070684)	(10, 35.96782752704167)	(11, 35.98658839163493)	(12, 35.98119662231738)	(13, 35.96155519771004)	(14, 35.97606162711121)	(15, 35.94779069467263)	(16, 35.969469033112546)	(17, 35.94858041993571)	(18, 35.94510204439832)	(19, 35.944674457621666)	(20, 35.96572124368149)	(21, 35.958405748476615)	(22, 35.95545673212548)	(23, 35.93922692777527)	(24, 35.92188272038388)	(25, 35.91693346163785)	(26, 35.91778418420466)	(27, 35.900470476827856)	(28, 35.89878575668946)	(29, 35.89321669490456)	(30, 35.875536282797675)	(31, 35.87741590313792)	(32, 35.850486886697226)	(33, 35.851361645649035)	(34, 35.848776749516816)	(35, 35.833853324318135)	(36, 35.8426498025496)	(37, 35.84071409745468)	(38, 35.83633440340419)	(39, 35.80497663740799)	(40, 35.82257827347214)	(41, 35.81239757159315)	(42, 35.815578815367765)	(43, 35.795202917544884)	(44, 35.80182661785099)	(45, 35.783479768891986)	(46, 35.80499580733288)	(47, 35.78015817955199)	(48, 35.75816473383692)	(49, 35.77814649964567)	(50, 35.761126632559524)	(51, 35.72130528549398)	(52, 35.734661888532145)	(53, 35.74694282503485)
Untreated1_1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)	(51, 30.0)		
Untreated2_1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(11, 30.0)	(12, 30.0)	(13, 30.0)	(14, 30.0)	(15, 30.0)	(16, 30.0)	(17, 30.0)	(18, 30.0)	(19, 30.0)	(20, 30.0)	(21, 30.0)	(22, 30.0)	(23, 30.0)	(24, 30.0)	(25, 30.0)	(26, 30.0)	(27, 30.0)	(28, 30.0)	(29, 30.0)	(30, 30.0)	(31, 30.0)	(32, 30.0)	(33, 30.0)	(34, 30.0)	(35, 30.0)	(36, 30.0)	(37, 30.0)	(38, 30.0)	(39, 30.0)	(40, 30.0)	(41, 30.0)	(42, 30.0)	(43, 30.0)	(44, 30.0)	(45, 30.0)	(46, 30.0)	(47, 30.0)	(48, 30.0)	(49, 30.0)	(50, 30.0)	(51, 30.0)		
