Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Quizartinib1_48h_1	(0.0, 7000.0)	(1.0, 7203.0)	(2.0, 7406.0)	(3.0, 7590.0)	(4.0, 7774.0)	(5.0, 8075.5)	(6.0, 4991.0)	(7.0, 2206.0)	(8.0, 3322.5)	(9.0, 4433.0)	(10.0, 6121.5)	(11.0, 8373.0)	(12.0, 11607.5)	(13.0, 15879.5)	(14.0, 25053.0)	(15.0, 32824.0)	(16.0, 45876.5)	(17.0, 59726.0)	(18.0, 82936.5)	(19.0, 107204.5)	(20.0, 144101.5)	(21.0, 182073.0)	(22.0, 232720.0)	(23.0, 284818.5)	(24.0, 350519.5)	(25.0, 459890.0)	(26.0, 543247.0)	(27.0, 634502.0)	(28.0, 730690.0)	(29.0, 829796.5)	(30.0, 926188.5)	(31.0, 1037799.0)	(32.0, 1147300.0)	(33.0, 1246859.5)	(34.0, 1342368.5)	(35.0, 1438521.5)	(36.0, 1533118.5)	(37.0, 1616357.5)	(38.0, 1689300.5)	(39.0, 1754697.0)	(40.0, 1805999.5)	(41.0, 1856738.0)	(42.0, 1933592.5)	(43.0, 1958254.0)	(44.0, 1954871.5)	(45.0, 1957451.5)	(46.0, 1976565.0)	(47.0, 2014264.5)	(48.0, 2336026.0)	(49.0, 2588894.5)	(50.0, 2209906.0)	(51.0, 1859028.0)	(52.0, 1787506.0)	(53.0, 1737551.0)	(54.0, 1839843.5)	(55.0, 1951794.5)	(56.0, 1867889.0)	(57.0, 1743923.0)	(58.0, 1809785.0)	(59.0, 1941370.5)	(60.0, 1966107.5)	(61.0, 1769128.5)	(62.0, 1537449.0)	(63.0, 1338584.0)	(64.0, 1160572.5)	(65.0, 1103677.0)	(66.0, 1011731.5)	(67.0, 836980.0)	(68.0, 694642.5)	(69.0, 635881.0)	(70.0, 592120.5)	(71.0, 530391.0)	(72.0, 459660.5)	(73.0, 387603.5)	(74.0, 324624.5)	(75.0, 323254.5)	(76.0, 322268.5)	(77.0, 315329.5)	(78.0, 355515.0)	(79.0, 384512.5)	(80.0, 322926.5)	(81.0, 266742.0)	(82.0, 259233.0)	(83.0, 254907.5)	(84.0, 229856.5)	(85.0, 200424.5)	(86.0, 181457.0)	(87.0, 166395.5)	(88.0, 136531.5)	(89.0, 104489.5)	(90.0, 74181.5)	(91.0, 32656.5)	(92.0, 16316.0)	(93.0, 7649.5)	(94.0, 2767.5)	(95.0, 1897.5)	(96.0, 1028.5)	(97.0, 586.0)	(98.0, 139.0)	(99.0, 83.0)	(100.0, 32.0)
Quizartinib1_48h_2	(0.0, 2692.0)	(1.0, 3900.0)	(2.0, 5108.0)	(3.0, 7970.5)	(4.0, 10833.0)	(5.0, 12614.0)	(6.0, 14372.0)	(7.0, 15590.0)	(8.0, 17823.0)	(9.0, 19599.0)	(10.0, 21978.5)	(11.0, 25019.0)	(12.0, 29462.5)	(13.0, 34828.0)	(14.0, 45841.5)	(15.0, 55622.5)	(16.0, 71566.5)	(17.0, 88106.0)	(18.0, 113141.5)	(19.0, 139427.0)	(20.0, 176177.5)	(21.0, 214147.5)	(22.0, 260638.5)	(23.0, 308035.5)	(24.0, 367675.0)	(25.0, 469006.5)	(26.0, 542388.0)	(27.0, 618612.5)	(28.0, 695729.0)	(29.0, 774983.0)	(30.0, 856133.5)	(31.0, 938984.5)	(32.0, 1024264.0)	(33.0, 1115946.0)	(34.0, 1206682.0)	(35.0, 1290318.5)	(36.0, 1371524.5)	(37.0, 1449945.5)	(38.0, 1527884.0)	(39.0, 1625408.0)	(40.0, 1700795.0)	(41.0, 1754039.5)	(42.0, 1833152.5)	(43.0, 1868242.5)	(44.0, 1875292.5)	(45.0, 1874402.0)	(46.0, 1869236.0)	(47.0, 1856597.5)	(48.0, 1834617.0)	(49.0, 1801272.0)	(50.0, 1763640.0)	(51.0, 1738840.0)	(52.0, 1723841.0)	(53.0, 1705886.0)	(54.0, 1694957.0)	(55.0, 1694417.5)	(56.0, 1831712.0)	(57.0, 1972416.0)	(58.0, 1909797.5)	(59.0, 1857420.5)	(60.0, 1866866.5)	(61.0, 1774048.0)	(62.0, 1693684.5)	(63.0, 1563121.5)	(64.0, 1397012.0)	(65.0, 1320552.5)	(66.0, 1194146.0)	(67.0, 1264116.0)	(68.0, 1377569.5)	(69.0, 1009601.5)	(70.0, 659138.5)	(71.0, 579392.5)	(72.0, 484381.5)	(73.0, 441915.0)	(74.0, 416798.0)	(75.0, 410006.5)	(76.0, 402986.5)	(77.0, 390695.5)	(78.0, 377348.5)	(79.0, 359919.0)	(80.0, 324257.0)	(81.0, 294570.5)	(82.0, 289112.0)	(83.0, 279227.0)	(84.0, 272318.0)	(85.0, 270566.5)	(86.0, 282417.0)	(87.0, 288713.5)	(88.0, 262886.5)	(89.0, 236768.5)	(90.0, 150053.0)	(91.0, 62160.5)	(92.0, 37026.0)	(93.0, 14218.0)	(94.0, 11159.5)	(95.0, 10757.0)	(96.0, 10352.0)	(97.0, 11734.5)	(98.0, 13115.5)	(99.0, 38145.0)	(100.0, 63178.0)
Quizartinib2_48h_1	(0.0, 263929.0)	(1.0, 264318.0)	(2.0, 264707.0)	(3.0, 264955.5)	(4.0, 265204.5)	(5.0, 265489.0)	(6.0, 134004.0)	(7.0, 2798.5)	(8.0, 3911.5)	(9.0, 5073.0)	(10.0, 6843.0)	(11.0, 9221.0)	(12.0, 12604.5)	(13.0, 17010.5)	(14.0, 26344.0)	(15.0, 34359.0)	(16.0, 48125.0)	(17.0, 62590.0)	(18.0, 86279.0)	(19.0, 110980.5)	(20.0, 149222.5)	(21.0, 188875.5)	(22.0, 240981.0)	(23.0, 294178.5)	(24.0, 362961.0)	(25.0, 477404.0)	(26.0, 564257.0)	(27.0, 659580.5)	(28.0, 759589.0)	(29.0, 863103.0)	(30.0, 965377.0)	(31.0, 1083469.5)	(32.0, 1199993.5)	(33.0, 1308528.5)	(34.0, 1412716.5)	(35.0, 1521756.5)	(36.0, 1629768.0)	(37.0, 1723045.0)	(38.0, 1807157.0)	(39.0, 1889777.0)	(40.0, 1953283.0)	(41.0, 2010119.0)	(42.0, 2096749.5)	(43.0, 2123979.5)	(44.0, 2116202.0)	(45.0, 2112629.5)	(46.0, 2121488.5)	(47.0, 2147082.5)	(48.0, 2445790.5)	(49.0, 2680083.0)	(50.0, 2304730.0)	(51.0, 1954142.0)	(52.0, 1878493.0)	(53.0, 1822332.0)	(54.0, 1919539.0)	(55.0, 2031071.0)	(56.0, 1934527.0)	(57.0, 1795633.5)	(58.0, 1839380.5)	(59.0, 1931658.5)	(60.0, 1938225.0)	(61.0, 1759943.5)	(62.0, 1544647.5)	(63.0, 1348989.0)	(64.0, 1174968.5)	(65.0, 1114384.5)	(66.0, 1019101.0)	(67.0, 847277.0)	(68.0, 706481.5)	(69.0, 644969.0)	(70.0, 598917.5)	(71.0, 533718.5)	(72.0, 458998.5)	(73.0, 386951.0)	(74.0, 324215.0)	(75.0, 321371.0)	(76.0, 319296.0)	(77.0, 312400.5)	(78.0, 352200.5)	(79.0, 380582.5)	(80.0, 317867.0)	(81.0, 260571.0)	(82.0, 248515.5)	(83.0, 239434.5)	(84.0, 210546.5)	(85.0, 177742.0)	(86.0, 159176.5)	(87.0, 144056.5)	(88.0, 118310.0)	(89.0, 89866.0)	(90.0, 62782.5)	(91.0, 28799.5)	(92.0, 16946.5)	(93.0, 8583.0)	(94.0, 2982.5)	(95.0, 2073.0)	(96.0, 1169.0)	(97.0, 713.0)	(98.0, 252.5)	(99.0, 148.5)	(100.0, 50.0)
Quizartinib2_48h_2	(0.0, 4733.0)	(1.0, 7205.0)	(2.0, 9677.0)	(3.0, 14604.5)	(4.0, 19532.5)	(5.0, 22912.0)	(6.0, 26160.5)	(7.0, 28762.5)	(8.0, 32605.0)	(9.0, 34915.5)	(10.0, 38033.0)	(11.0, 41846.5)	(12.0, 47106.5)	(13.0, 53025.5)	(14.0, 64991.0)	(15.0, 75570.0)	(16.0, 92157.5)	(17.0, 109421.0)	(18.0, 135128.0)	(19.0, 162028.0)	(20.0, 199684.0)	(21.0, 238669.0)	(22.0, 287690.5)	(23.0, 337807.5)	(24.0, 399057.5)	(25.0, 504003.0)	(26.0, 580272.0)	(27.0, 659780.5)	(28.0, 742369.5)	(29.0, 828400.0)	(30.0, 915553.0)	(31.0, 1006708.0)	(32.0, 1102480.0)	(33.0, 1206394.0)	(34.0, 1308242.5)	(35.0, 1400792.0)	(36.0, 1492777.0)	(37.0, 1584423.5)	(38.0, 1673747.5)	(39.0, 1780608.5)	(40.0, 1861813.0)	(41.0, 1912126.0)	(42.0, 1984980.0)	(43.0, 2012475.0)	(44.0, 2007735.5)	(45.0, 1994121.5)	(46.0, 1974586.0)	(47.0, 1948126.0)	(48.0, 1913453.0)	(49.0, 1869708.5)	(50.0, 1823452.0)	(51.0, 1788000.5)	(52.0, 1764722.0)	(53.0, 1741249.0)	(54.0, 1728563.5)	(55.0, 1723927.5)	(56.0, 1842178.0)	(57.0, 1967993.5)	(58.0, 1905667.0)	(59.0, 1837357.5)	(60.0, 1831693.0)	(61.0, 1733831.5)	(62.0, 1644845.0)	(63.0, 1517993.5)	(64.0, 1350277.5)	(65.0, 1265933.5)	(66.0, 1150821.5)	(67.0, 1215187.0)	(68.0, 1313273.0)	(69.0, 975959.0)	(70.0, 660611.5)	(71.0, 591171.5)	(72.0, 496846.0)	(73.0, 447160.5)	(74.0, 418170.5)	(75.0, 408860.0)	(76.0, 402039.5)	(77.0, 391236.0)	(78.0, 379113.5)	(79.0, 363359.0)	(80.0, 330092.0)	(81.0, 302686.5)	(82.0, 294164.5)	(83.0, 281380.0)	(84.0, 273360.0)	(85.0, 269611.0)	(86.0, 270795.0)	(87.0, 267861.5)	(88.0, 241923.5)	(89.0, 215248.5)	(90.0, 150883.0)	(91.0, 86324.5)	(92.0, 69355.0)	(93.0, 55783.0)	(94.0, 54999.5)	(95.0, 56326.0)	(96.0, 57658.0)	(97.0, 63351.0)	(98.0, 69040.5)	(99.0, 164822.5)	(100.0, 260609.0)
Quizartinib3_48h_1	(0.0, 13080.0)	(1.0, 13305.0)	(2.0, 13530.0)	(3.0, 13669.0)	(4.0, 13807.5)	(5.0, 14122.5)	(6.0, 7979.0)	(7.0, 2094.0)	(8.0, 3161.0)	(9.0, 4285.0)	(10.0, 6033.5)	(11.0, 8397.5)	(12.0, 11849.0)	(13.0, 16303.0)	(14.0, 26096.0)	(15.0, 34484.5)	(16.0, 48251.5)	(17.0, 62919.0)	(18.0, 88054.0)	(19.0, 114198.0)	(20.0, 154743.5)	(21.0, 196571.0)	(22.0, 250668.0)	(23.0, 306125.0)	(24.0, 377533.0)	(25.0, 494378.0)	(26.0, 581375.0)	(27.0, 678572.0)	(28.0, 781763.0)	(29.0, 886267.0)	(30.0, 988819.5)	(31.0, 1109860.0)	(32.0, 1227796.5)	(33.0, 1335396.5)	(34.0, 1438796.0)	(35.0, 1545987.0)	(36.0, 1652850.0)	(37.0, 1745674.5)	(38.0, 1827087.0)	(39.0, 1900999.0)	(40.0, 1958144.0)	(41.0, 2021470.0)	(42.0, 2122878.5)	(43.0, 2159520.5)	(44.0, 2161391.5)	(45.0, 2173641.5)	(46.0, 2205692.0)	(47.0, 2259904.0)	(48.0, 2655490.0)	(49.0, 2964841.0)	(50.0, 2516067.0)	(51.0, 2101816.0)	(52.0, 2025854.5)	(53.0, 1976775.5)	(54.0, 2115059.0)	(55.0, 2265385.5)	(56.0, 2151131.0)	(57.0, 1979593.0)	(58.0, 2048782.5)	(59.0, 2216702.0)	(60.0, 2262013.5)	(61.0, 2092847.5)	(62.0, 1882424.5)	(63.0, 1612905.5)	(64.0, 1382875.0)	(65.0, 1353681.0)	(66.0, 1256655.5)	(67.0, 1019963.0)	(68.0, 831303.5)	(69.0, 750778.5)	(70.0, 689262.0)	(71.0, 619348.5)	(72.0, 535982.0)	(73.0, 443571.0)	(74.0, 362586.5)	(75.0, 353133.0)	(76.0, 350447.0)	(77.0, 346598.0)	(78.0, 392798.5)	(79.0, 427688.0)	(80.0, 364422.5)	(81.0, 306235.5)	(82.0, 295715.5)	(83.0, 288840.0)	(84.0, 260819.5)	(85.0, 227815.5)	(86.0, 201421.0)	(87.0, 179337.0)	(88.0, 151758.5)	(89.0, 121266.5)	(90.0, 85773.5)	(91.0, 39495.5)	(92.0, 23496.0)	(93.0, 12440.5)	(94.0, 4443.0)	(95.0, 3027.5)	(96.0, 1612.0)	(97.0, 954.5)	(98.0, 296.0)	(99.0, 172.5)	(100.0, 54.0)
Quizartinib3_48h_2	(0.0, 2400.0)	(1.0, 3558.0)	(2.0, 4716.0)	(3.0, 7478.0)	(4.0, 10239.5)	(5.0, 12305.5)	(6.0, 14342.0)	(7.0, 15600.5)	(8.0, 17907.0)	(9.0, 19850.5)	(10.0, 22404.0)	(11.0, 25293.5)	(12.0, 29468.5)	(13.0, 34760.0)	(14.0, 46276.5)	(15.0, 56694.0)	(16.0, 73128.0)	(17.0, 90054.0)	(18.0, 116341.0)	(19.0, 143920.5)	(20.0, 181593.5)	(21.0, 220438.0)	(22.0, 269832.5)	(23.0, 320497.0)	(24.0, 382112.5)	(25.0, 486610.0)	(26.0, 562804.5)	(27.0, 642971.5)	(28.0, 725056.0)	(29.0, 809037.0)	(30.0, 894035.0)	(31.0, 983243.0)	(32.0, 1076195.5)	(33.0, 1177122.5)	(34.0, 1277804.5)	(35.0, 1369015.5)	(36.0, 1459602.5)	(37.0, 1549156.0)	(38.0, 1641131.5)	(39.0, 1761338.0)	(40.0, 1851968.0)	(41.0, 1915672.5)	(42.0, 2015812.5)	(43.0, 2065109.5)	(44.0, 2082589.0)	(45.0, 2091434.0)	(46.0, 2093221.5)	(47.0, 2085870.5)	(48.0, 2068495.5)	(49.0, 2036408.5)	(50.0, 1993247.5)	(51.0, 1964170.5)	(52.0, 1947763.5)	(53.0, 1928021.5)	(54.0, 1916912.5)	(55.0, 1916883.5)	(56.0, 2078142.5)	(57.0, 2243593.0)	(58.0, 2188712.0)	(59.0, 2162775.0)	(60.0, 2192546.0)	(61.0, 2091589.5)	(62.0, 2005169.0)	(63.0, 1850334.5)	(64.0, 1648528.0)	(65.0, 1558825.5)	(66.0, 1417571.5)	(67.0, 1554898.0)	(68.0, 1733996.0)	(69.0, 1242500.0)	(70.0, 774146.0)	(71.0, 673927.0)	(72.0, 561929.0)	(73.0, 514245.5)	(74.0, 481836.0)	(75.0, 469976.0)	(76.0, 458307.0)	(77.0, 442903.5)	(78.0, 433345.5)	(79.0, 418297.5)	(80.0, 369572.0)	(81.0, 328134.5)	(82.0, 324458.5)	(83.0, 316038.0)	(84.0, 303928.0)	(85.0, 297619.0)	(86.0, 306706.0)	(87.0, 309193.0)	(88.0, 281769.0)	(89.0, 254452.0)	(90.0, 164487.0)	(91.0, 73148.5)	(92.0, 45588.5)	(93.0, 19979.5)	(94.0, 16005.0)	(95.0, 15577.0)	(96.0, 15150.0)	(97.0, 17452.5)	(98.0, 19753.0)	(99.0, 80505.0)	(100.0, 141263.0)
Untreated1_1	(0.0, 3852.0)	(1.0, 3038.0)	(2.0, 2224.0)	(3.0, 1682.5)	(4.0, 1141.0)	(5.0, 1409.0)	(6.0, 1677.0)	(7.0, 2230.5)	(8.0, 2784.0)	(9.0, 3859.0)	(10.0, 4934.0)	(11.0, 7248.5)	(12.0, 9563.0)	(13.0, 12140.5)	(14.0, 14718.0)	(15.0, 19615.5)	(16.0, 24513.0)	(17.0, 33282.5)	(18.0, 42052.0)	(19.0, 56100.5)	(20.0, 70149.0)	(21.0, 88431.5)	(22.0, 106714.0)	(23.0, 131270.0)	(24.0, 155826.0)	(25.0, 185443.0)	(26.0, 249197.5)	(27.0, 283335.0)	(28.0, 325314.5)	(29.0, 367294.0)	(30.0, 417081.0)	(31.0, 466868.0)	(32.0, 526267.0)	(33.0, 585666.0)	(34.0, 633952.0)	(35.0, 682238.0)	(36.0, 740220.5)	(37.0, 798203.0)	(38.0, 812462.5)	(39.0, 826722.0)	(40.0, 878216.0)	(41.0, 929710.0)	(42.0, 946220.5)	(43.0, 962731.0)	(44.0, 969721.0)	(45.0, 976711.0)	(46.0, 951041.0)	(47.0, 925371.0)	(48.0, 913491.5)	(49.0, 901612.0)	(50.0, 890735.5)	(51.0, 879859.0)	(52.0, 843017.5)	(53.0, 806176.0)	(54.0, 776610.0)	(55.0, 747044.0)	(56.0, 699233.0)	(57.0, 651422.0)	(58.0, 610069.0)	(59.0, 568716.0)	(60.0, 526206.0)	(61.0, 483696.0)	(62.0, 447137.0)	(63.0, 410578.0)	(64.0, 364425.5)	(65.0, 318273.0)	(66.0, 286246.0)	(67.0, 254219.0)	(68.0, 219025.0)	(69.0, 183831.0)	(70.0, 155993.0)	(71.0, 128155.0)	(72.0, 109532.0)	(73.0, 90909.0)	(74.0, 90245.0)	(75.0, 67579.5)	(76.0, 45578.0)	(77.0, 38966.0)	(78.0, 32354.0)	(79.0, 25604.0)	(80.0, 18854.0)	(81.0, 15257.0)	(82.0, 11660.0)	(83.0, 9674.0)	(84.0, 7688.0)	(85.0, 6517.5)	(86.0, 5347.0)	(87.0, 4865.5)	(88.0, 4384.0)	(89.0, 3683.5)	(90.0, 2983.0)	(91.0, 2448.5)	(92.0, 1914.0)	(93.0, 1213.5)	(94.0, 513.0)	(95.0, 352.0)	(96.0, 191.0)	(97.0, 109.5)	(98.0, 28.0)	(99.0, 15.5)	(100.0, 3.0)
Untreated2_1	(0.0, 3437.0)	(1.0, 2858.5)	(2.0, 2280.0)	(3.0, 1607.0)	(4.0, 934.0)	(5.0, 1098.0)	(6.0, 1262.0)	(7.0, 1739.5)	(8.0, 2217.0)	(9.0, 3063.5)	(10.0, 3910.0)	(11.0, 5788.5)	(12.0, 7667.0)	(13.0, 9797.5)	(14.0, 11928.0)	(15.0, 16217.5)	(16.0, 20507.0)	(17.0, 27733.5)	(18.0, 34960.0)	(19.0, 46882.0)	(20.0, 58804.0)	(21.0, 75638.0)	(22.0, 92472.0)	(23.0, 113423.5)	(24.0, 134375.0)	(25.0, 161067.0)	(26.0, 217437.5)	(27.0, 247116.0)	(28.0, 284644.0)	(29.0, 322172.0)	(30.0, 364361.0)	(31.0, 406550.0)	(32.0, 460547.5)	(33.0, 514545.0)	(34.0, 555583.5)	(35.0, 596622.0)	(36.0, 650275.5)	(37.0, 703929.0)	(38.0, 715303.0)	(39.0, 726677.0)	(40.0, 773576.5)	(41.0, 820476.0)	(42.0, 842839.0)	(43.0, 865202.0)	(44.0, 871338.0)	(45.0, 877474.0)	(46.0, 855554.5)	(47.0, 833635.0)	(48.0, 826463.0)	(49.0, 819291.0)	(50.0, 812134.0)	(51.0, 804977.0)	(52.0, 774239.0)	(53.0, 743501.0)	(54.0, 714932.5)	(55.0, 686364.0)	(56.0, 640146.5)	(57.0, 593929.0)	(58.0, 553894.5)	(59.0, 513860.0)	(60.0, 475100.0)	(61.0, 436340.0)	(62.0, 402595.5)	(63.0, 368851.0)	(64.0, 326202.0)	(65.0, 283553.0)	(66.0, 256131.5)	(67.0, 228710.0)	(68.0, 196442.0)	(69.0, 164174.0)	(70.0, 138156.5)	(71.0, 112139.0)	(72.0, 96007.0)	(73.0, 79875.0)	(74.0, 80465.0)	(75.0, 60531.5)	(76.0, 40008.0)	(77.0, 34722.0)	(78.0, 29436.0)	(79.0, 22867.5)	(80.0, 16299.0)	(81.0, 13122.5)	(82.0, 9946.0)	(83.0, 8463.0)	(84.0, 6980.0)	(85.0, 5953.0)	(86.0, 4926.0)	(87.0, 4345.5)	(88.0, 3765.0)	(89.0, 3363.0)	(90.0, 2961.0)	(91.0, 2375.5)	(92.0, 1790.0)	(93.0, 1159.5)	(94.0, 529.0)	(95.0, 356.0)	(96.0, 183.0)	(97.0, 109.0)	(98.0, 35.0)	(99.0, 19.0)	(100.0, 3.0)
