Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Quizartinib1_48h_1	0.6359892042206604	2.87588209552562
Quizartinib1_48h_2	0.4669138725804613	2.47359794075103
Quizartinib2_48h_1	0.6319222828963975	2.897119734691336
Quizartinib2_48h_2	0.46026322685791277	2.17697607714565
Quizartinib3_48h_1	0.6664026489676804	3.6737587641477036
Quizartinib3_48h_2	0.5322659177948672	3.1504535595391836
Untreated1_1	0.2430816495895833	0.0
Untreated2_1	0.3092286751159663	0.0
