Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Quizartinib1_48h_1	47.05300278544192	49.0	52.529638732959796	53	10.0	39.901149
Quizartinib1_48h_2	43.75075104541556	51.0	52.55338819942253	53	20.0	39.901149
Quizartinib2_48h_1	45.98264445203163	49.0	52.25030633021213	53	10.0	41.704178999999996
Quizartinib2_48h_2	40.66180769739286	50.0	52.54549142425271	53	10.0	41.704178999999996
Quizartinib3_48h_1	52.690518026264236	50.0	52.528334274026314	53	20.0	44.895979999999994
Quizartinib3_48h_2	49.757278632478666	51.0	52.554873732570265	53	20.0	44.895979999999994
Untreated1_1	62.005481926249864	47.0	51.0	51	27.27272727272727	15.105623999999999
Untreated2_1	65.49630120651088	47.0	51.0	51	27.27272727272727	13.51039
