Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52
Quizartinib1_48h_1	(1, 0.025485481633624133)	(2, 0.1585067136788467)	(3, 0.019322751833537426)	(4, 0.01697194233679837)	(5, 0.01697194233679837)	(6, 0.016991991884744973)	(7, 0.019861583434602346)	(8, 0.01697194233679837)	(9, 7.5198580651856396e-06)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0013535775392757442)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 1.5039829227752396e-05)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.002506655232308159)	(27, 2.0053277045121554e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0015215576137665118)	(31, 0.0)	(32, 0.0017145868197956469)	(33, 0.0)	(34, 0.009132004134995538)	(35, 0.0)	(36, 7.520233564416742e-06)	(37, 0.0)	(38, 0.002353854052475604)	(39, 0.0)	(40, 0.00036599201219926584)	(41, 3.0081746393781442e-05)	(42, 0.0016394702204899434)	(43, 0.0)	(44, 0.0018225471799053119)	(45, 0.0)	(46, 5.2647080147808935e-05)	(47, 0.0)	(48, 0.00753699880368322)	(49, 0.0)	(50, 3.5250505958065696e-05)	(51, 5.895138305070845e-05)	(52, 0.0)	(53, 0.0)
Quizartinib1_48h_2	(1, 0.3677087093406759)	(2, 0.002035029116580076)	(3, 0.00012029728767961043)	(4, 0.00011528490069296)	(5, 0.00011528490069296)	(6, 0.0005162758596249947)	(7, 0.003887106108147412)	(8, 0.00011528490069296)	(9, 5.764252691204272e-05)	(10, 0.0)	(11, 0.001806969041006443)	(12, 0.0)	(13, 0.0001503719826921848)	(14, 0.0)	(15, 0.0012681379757174635)	(16, 0.0)	(17, 0.0022230023754797874)	(18, 0.0009699013059006816)	(19, 0.0004060055743061628)	(20, 0.0)	(21, 0.00017543474923795532)	(22, 0.00017292882457596286)	(23, 0.0019498398437140711)	(24, 0.0)	(25, 0.002744320184522576)	(26, 0.00013533649389158736)	(27, 0.0)	(28, 0.00014536203140732152)	(29, 0.0035563686053002525)	(30, 0.0)	(31, 0.0006065176588117618)	(32, 0.0)	(33, 0.0010701862745677926)	(34, 0.0)	(35, 0.005423657311476028)	(36, 0.0)	(37, 0.008185674147911673)	(38, 0.0)	(39, 0.009165741111449245)	(40, 0.0)	(41, 0.005900038608408974)	(42, 0.00318815977613103)	(43, 0.004343691738949992)	(44, 0.002797322761592227)	(45, 0.0014112301635683438)	(46, 0.0022108668668612465)	(47, 0.0033439594706096043)	(48, 0.001429025421710416)	(49, 0.003708518942239065)	(50, 0.0018487958067497571)	(51, 0.001138418858527712)	(52, 0.0)	(53, 0.0)
Quizartinib2_48h_1	(1, 0.6402931466412515)	(2, 0.7720041677358042)	(3, 0.6341354903545757)	(4, 0.6319222828963975)	(5, 0.6319222828963975)	(6, 0.6319294764200969)	(7, 0.6347037787268274)	(8, 0.6319222828963975)	(9, 2.4130907858565567e-06)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0013344419738901589)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 9.65246073801267e-06)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.002391435869979152)	(27, 1.2065818751710934e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0014286298975942644)	(31, 0.0)	(32, 0.0016217229401711414)	(33, 0.0)	(34, 0.008642126245898489)	(35, 0.0)	(36, 4.826750546581232e-06)	(37, 0.0)	(38, 0.002266213417547336)	(39, 0.0)	(40, 0.00035478590987308365)	(41, 2.413552405692672e-05)	(42, 0.0015543608377724938)	(43, 0.0)	(44, 0.0018417022851808164)	(45, 0.0)	(46, 3.862221336807981e-05)	(47, 0.0)	(48, 0.007416605736787995)	(49, 0.0)	(50, 4.364621233804709e-05)	(51, 4.9385003611525306e-05)	(52, 0.0)	(53, 0.0)
Quizartinib2_48h_2	(1, 0.36764900706953135)	(2, 0.00251053977108625)	(3, 0.0006354279267792324)	(4, 0.0006258365618467156)	(5, 0.0006258365618467156)	(6, 0.0009735235406504466)	(7, 0.0042369854589392585)	(8, 0.0006258365618467156)	(9, 4.7957135145292975e-05)	(10, 0.0)	(11, 0.0016305433378037395)	(12, 0.0)	(13, 0.00017983944653571078)	(14, 0.0)	(15, 0.0013092317986507)	(16, 0.0)	(17, 0.002071753106688499)	(18, 0.0008824138892329822)	(19, 0.0004244222438307229)	(20, 0.0)	(21, 0.00020861475343678419)	(22, 0.000206217550259713)	(23, 0.0019854559596014384)	(24, 0.0)	(25, 0.0027504008583360837)	(26, 0.0001534666264520161)	(27, 0.0)	(28, 0.00017265144931180053)	(29, 0.0035297921652618)	(30, 0.0)	(31, 0.0006882294302731264)	(32, 0.0)	(33, 0.0010791274779524663)	(34, 0.0)	(35, 0.005295021169293194)	(36, 0.0)	(37, 0.008029032675189273)	(38, 0.0)	(39, 0.008703152774050206)	(40, 0.0)	(41, 0.005717561526202321)	(42, 0.0030507137998750933)	(43, 0.004062936468864979)	(44, 0.002607219816213789)	(45, 0.0013936075390090178)	(46, 0.0020412860293880426)	(47, 0.003269542629606541)	(48, 0.0013459218854767784)	(49, 0.0037025284883995245)	(50, 0.0017547843605036704)	(51, 0.0011951741523669982)	(52, 0.0)	(53, 0.0)
Quizartinib3_48h_1	(1, 0.03751338093076485)	(2, 0.16907081658536022)	(3, 0.030980502040494497)	(4, 0.028770950093972777)	(5, 0.028770950093972777)	(6, 0.02877317746488661)	(7, 0.03170217021657618)	(8, 0.028770950093972777)	(9, 2.228012579359023e-06)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0014437557863024872)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 1.3368180019655236e-05)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0024597653464069266)	(27, 8.912213140924593e-06)	(28, 0.0)	(29, 0.0)	(30, 0.001539606705573189)	(31, 0.0)	(32, 0.0017446116288413846)	(33, 0.0)	(34, 0.009019505147791209)	(35, 0.0)	(36, 1.3369008383660592e-05)	(37, 0.0)	(38, 0.0023351586341443242)	(39, 0.0)	(40, 0.00036766150969035413)	(41, 4.0109069037088876e-05)	(42, 0.0016690089614193983)	(43, 0.0)	(44, 0.0018897163330767659)	(45, 0.0)	(46, 4.9027646935245015e-05)	(47, 0.0)	(48, 0.00789446961868419)	(49, 0.0)	(50, 6.490205876492009e-05)	(51, 7.969772066340565e-05)	(52, 0.0)	(53, 0.0)
Quizartinib3_48h_2	(1, 0.3697257527288635)	(2, 0.0020157706770182987)	(3, 0.0001470064803129367)	(4, 0.0001314148839161101)	(5, 0.0001314148839161101)	(6, 0.0005612974702857584)	(7, 0.003962492855707794)	(8, 0.0001314148839161101)	(9, 7.350335803432241e-05)	(10, 0.0)	(11, 0.00173512569070086)	(12, 0.0)	(13, 0.00019155446178452848)	(14, 0.0)	(15, 0.0013943395028253084)	(16, 0.0)	(17, 0.0021271488407473157)	(18, 0.0009288183879846806)	(19, 0.0004499313598527183)	(20, 0.0)	(21, 0.00022719349809628554)	(22, 0.00022273917013755548)	(23, 0.001993520812346144)	(24, 0.0)	(25, 0.0028622166333142325)	(26, 0.0001670557432049408)	(27, 0.0)	(28, 0.00018487600255137794)	(29, 0.0036396236246053885)	(30, 0.0)	(31, 0.0007016499063664906)	(32, 0.0)	(33, 0.0011627478315142752)	(34, 0.0)	(35, 0.005397267632704064)	(36, 0.0)	(37, 0.008533735408671255)	(38, 0.0)	(39, 0.009032862847037635)	(40, 0.0)	(41, 0.0058631557709725715)	(42, 0.003265780463945327)	(43, 0.004192591806120654)	(44, 0.0027580568789748157)	(45, 0.001483786656520477)	(46, 0.0021767068439517527)	(47, 0.0033442754937953105)	(48, 0.0013971779945936564)	(49, 0.003795830273753629)	(50, 0.0018355626839060327)	(51, 0.0011325719283644604)	(52, 0.0)	(53, 0.0)
Untreated1_1	(1, 0.09763251091116792)	(2, 0.0024494188389701742)	(3, 0.0007017253971103743)	(4, 0.0005362241242069841)	(5, 0.0005428441751231197)	(6, 0.0005428441751231197)	(7, 0.0005428441751231197)	(8, 0.0005428441751231197)	(9, 0.0005428441751231197)	(10, 0.0005627043278715265)	(11, 0.0005560842769553909)	(12, 0.0008275063645169507)	(13, 0.0005693243787876621)	(14, 0.0005627043278715265)	(15, 0.005329140987489163)	(16, 0.0014762713542982402)	(17, 0.0009334271791751205)	(18, 0.0005759444297037977)	(19, 0.0005759444297037977)	(20, 0.000655385040697425)	(21, 0.0005958045824522045)	(22, 0.0006090446842844758)	(23, 0.0006090446842844758)	(24, 0.0006355248879490182)	(25, 0.0006421449388651538)	(26, 0.0006951053461942386)	(27, 0.0016616327799500372)	(28, 0.0022044769550731568)	(29, 0.004289792993655873)	(30, 0.005938185671773639)	(31, 0.007149654989426454)	(32, 0.009142290315183273)	(33, 0.013266582035935755)	(34, 0.013511523919832773)	(35, 0.020753859622085126)	(36, 0.04940543998712002)	(37, 0.05260292457961353)	(38, 0.075130957847223)	(39, 0.13476437649977252)	(40, 0.17237950580525505)	(41, 0.2706872619098688)	(42, 0.5679606482989382)	(43, 0.6553122201373475)	(44, 0.9248012528313958)	(45, 1.8323109326698455)	(46, 2.0978941353233735)	(47, 3.5327570711411855)	(48, 8.938842910428594)	(49, 10.641294924327523)	(50, 16.9157593224881)	(51, 39.37824746597691)		
Untreated2_1	(1, 0.09523041155732735)	(2, 0.002257521803589682)	(3, 0.00027386330076333845)	(4, 0.0001776410599545979)	(5, 0.0001850427707860395)	(6, 0.0001850427707860395)	(7, 0.0001850427707860395)	(8, 0.0001850427707860395)	(9, 0.0001850427707860395)	(10, 0.0002146496141118058)	(11, 0.0001850427707860395)	(12, 0.0004292992282236116)	(13, 0.00019984619244892263)	(14, 0.00020724790328036422)	(15, 0.005225607846997755)	(16, 0.0010954532030533538)	(17, 0.0005551283123581184)	(18, 0.00023685474660613056)	(19, 0.0002516581682690137)	(20, 0.0003330769874148711)	(21, 0.00027386330076333845)	(22, 0.00030347014408910476)	(23, 0.0003330769874148711)	(24, 0.000370085541572079)	(25, 0.000370085541572079)	(26, 0.00045150436071793635)	(27, 0.0015173507204455238)	(28, 0.001954051659500577)	(29, 0.004107949511450076)	(30, 0.005780736159355874)	(31, 0.007120445819846799)	(32, 0.008926463262718546)	(33, 0.012531096437630595)	(34, 0.012864173425045465)	(35, 0.020095644907363888)	(36, 0.053625394973794246)	(37, 0.05646765193306781)	(38, 0.08097471649597088)	(39, 0.1400107620875489)	(40, 0.18380668507718873)	(41, 0.28506208925130955)	(42, 0.576156572830244)	(43, 0.665028914783363)	(44, 0.9324379237016844)	(45, 1.8378003891819557)	(46, 2.1075039284580237)	(47, 3.546611163704379)	(48, 8.927632733029913)	(49, 10.623357282802347)	(50, 16.939074297633155)	(51, 39.46072615224283)		
