Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Quizartinib1_48h_1	(0.0, 0.009207853736242529)	(1.0, 0.009474881494593563)	(2.0, 0.009741909252944596)	(3.0, 0.009983944265440114)	(4.0, 0.010225979277935632)	(5.0, 0.010622574692432364)	(6.0, 0.006565199713940924)	(7.0, 0.0029017893345930027)	(8.0, 0.004370442005523686)	(9.0, 0.005831202230394733)	(10.0, 0.008052268092344092)	(11.0, 0.01101390847622267)	(12.0, 0.015268594606205024)	(13.0, 0.020888016200666177)	(14.0, 0.032954908522012015)	(15.0, 0.04317694157691782)	(16.0, 0.06034630027581863)	(17.0, 0.07856403889297447)	(18.0, 0.10909530877083978)	(19.0, 0.14101762226671602)	(20.0, 0.1895522193104504)	(21.0, 0.23950022190269799)	(22.0, 0.3061216744997659)	(23.0, 0.37465244133942754)	(24.0, 0.46107604110012335)	(25.0, 0.6049428363943682)	(26.0, 0.7145912740932208)	(27.0, 0.8346288016219082)	(28.0, 0.9611552352192934)	(29.0, 1.0915206861208533)	(30.0, 1.2183154628842663)	(31.0, 1.3651287713741087)	(32.0, 1.5091672273701506)	(33.0, 1.6401285579492133)	(34.0, 1.7657618297341828)	(35.0, 1.892242224062887)	(36.0, 2.016675844046792)	(37.0, 2.126169063639805)	(38.0, 2.2221188457944816)	(39.0, 2.308141903917651)	(40.0, 2.3756256062467345)	(41.0, 2.4423674186462114)	(42.0, 2.5434624179279335)	(43.0, 2.575902344344554)	(44.0, 2.571452977878434)	(45.0, 2.5748467296840776)	(46.0, 2.599988774310888)	(47.0, 2.649578986015099)	(48.0, 3.0728265331513844)	(49.0, 3.4054516992232475)	(50.0, 2.9069273169778262)	(51.0, 2.4453797022256394)	(52.0, 2.3512991143794197)	(53.0, 2.285587923894563)	(54.0, 2.4201442636537904)	(55.0, 2.5674054684575167)	(56.0, 2.457035529648046)	(57.0, 2.293969701609897)	(58.0, 2.3806050820065265)	(59.0, 2.553693658836575)	(60.0, 2.58623289853278)	(61.0, 2.327125209802592)	(62.0, 2.0223722169903344)	(63.0, 1.7607836693820673)	(64.0, 1.5266259757579048)	(65.0, 1.4517851982935637)	(66.0, 1.3308393817641797)	(67.0, 1.1009699171657532)	(68.0, 0.9137380769968358)	(69.0, 0.836442748807948)	(70.0, 0.7788798511758278)	(71.0, 0.6976803930027731)	(72.0, 0.604640950332587)	(73.0, 0.5098566193793831)	(74.0, 0.427013559314409)	(75.0, 0.42521145079745865)	(76.0, 0.42391445882832507)	(77.0, 0.41478684496035545)	(78.0, 0.46764716014860896)	(79.0, 0.5057906942509937)	(80.0, 0.4247799970795319)	(81.0, 0.3508744744732578)	(82.0, 0.3409970782296228)	(83.0, 0.3353072823244632)	(84.0, 0.30235500461780446)	(85.0, 0.2636399258799344)	(86.0, 0.23868993077390865)	(87.0, 0.21887791805270626)	(88.0, 0.1795945831985424)	(89.0, 0.13744629042473056)	(90.0, 0.0975789145621536)	(91.0, 0.04295661079108631)	(92.0, 0.02146219165150473)	(93.0, 0.010062211022198175)	(94.0, 0.0036403907450073144)	(95.0, 0.0024959860663600285)	(96.0, 0.0013528967953893487)	(97.0, 0.0007708288984911603)	(98.0, 0.00018284166704824451)	(99.0, 0.00010917883715830427)	(100.0, 4.209304565139442e-05)
Quizartinib1_48h_2	(0.0, 0.0035450631985870003)	(1.0, 0.005135864217863781)	(2.0, 0.006726665237140564)	(3.0, 0.01049625788422648)	(4.0, 0.014265850531312397)	(5.0, 0.016611228524136854)	(6.0, 0.018926318086958528)	(7.0, 0.02053028798884522)	(8.0, 0.02347089947563748)	(9.0, 0.025809693027156987)	(10.0, 0.028943228644184388)	(11.0, 0.032947227401726654)	(12.0, 0.03879882038943889)	(13.0, 0.045864584353784564)	(14.0, 0.06036813321620579)	(15.0, 0.07324861729695595)	(16.0, 0.09424508373019187)	(17.0, 0.11602575712284778)	(18.0, 0.14899471318088078)	(19.0, 0.18360977956515218)	(20.0, 0.23200608160069136)	(21.0, 0.28200832887050875)	(22.0, 0.343231781012228)	(23.0, 0.4056483339184048)	(24.0, 0.48418689135976045)	(25.0, 0.617629154178341)	(26.0, 0.714264390102231)	(27.0, 0.8146435393521176)	(28.0, 0.9161973529308078)	(29.0, 1.020566015167366)	(30.0, 1.1274321559908926)	(31.0, 1.2365376653022344)	(32.0, 1.3488412377553918)	(33.0, 1.4695761872995423)	(34.0, 1.5890653605487959)	(35.0, 1.6992052855891455)	(36.0, 1.8061445137111574)	(37.0, 1.9094162080263104)	(38.0, 2.012052503755535)	(39.0, 2.1404807145203932)	(40.0, 2.2397569698517)	(41.0, 2.30987402686402)	(42.0, 2.4140570078557784)	(43.0, 2.460266616933943)	(44.0, 2.4695506791739272)	(45.0, 2.468377990177515)	(46.0, 2.461574945421237)	(47.0, 2.4449314531347057)	(48.0, 2.415985590713999)	(49.0, 2.372073951651264)	(50.0, 2.3225168126136615)	(51.0, 2.2898579837410917)	(52.0, 2.270105976714492)	(53.0, 2.2464612479884036)	(54.0, 2.232068976184036)	(55.0, 2.2313585149672317)	(56.0, 2.4121600303158215)	(57.0, 2.5974514761902587)	(58.0, 2.5149899086194116)	(59.0, 2.4460152521735012)	(60.0, 2.458454578686819)	(61.0, 2.336222985634053)	(62.0, 2.230393235871926)	(63.0, 2.058456353852195)	(64.0, 1.839708703263158)	(65.0, 1.7390200852719389)	(66.0, 1.572556849309016)	(67.0, 1.6646995209305366)	(68.0, 1.8141051032488462)	(69.0, 1.3295323636286156)	(70.0, 0.8680117530170272)	(71.0, 0.7629951817560618)	(72.0, 0.6378763111910731)	(73.0, 0.5819526758557111)	(74.0, 0.5488763934044073)	(75.0, 0.5399327467798889)	(76.0, 0.530688191187734)	(77.0, 0.5145023175718971)	(78.0, 0.4969258099524541)	(79.0, 0.4739731060075165)	(80.0, 0.4270102368440657)	(81.0, 0.3879164334841649)	(82.0, 0.3807281989115471)	(83.0, 0.36771075845165385)	(84.0, 0.358612377456469)	(85.0, 0.3563058476673438)	(86.0, 0.3719116320042143)	(87.0, 0.3802034189395423)	(88.0, 0.3461921458229351)	(89.0, 0.31179765822237965)	(90.0, 0.1976030342264395)	(91.0, 0.08185843274731323)	(92.0, 0.04875910475144215)	(93.0, 0.01872351729476596)	(94.0, 0.014695814548525865)	(95.0, 0.014165767023477103)	(96.0, 0.013632427277775864)	(97.0, 0.015453025298595524)	(98.0, 0.0172716479870237)	(99.0, 0.050232702715490754)	(100.0, 0.08319836655287127)
Quizartinib2_48h_1	(0.0, 0.32726196823394305)	(1.0, 0.32774431350726657)	(2.0, 0.3282266587805901)	(3.0, 0.32853478937293173)	(4.0, 0.32884353994634447)	(5.0, 0.329196309175806)	(6.0, 0.16615988690602893)	(7.0, 0.003470034055002253)	(8.0, 0.004850111919292947)	(9.0, 0.006290327947481304)	(10.0, 0.008485060939210441)	(11.0, 0.011433690913409247)	(12.0, 0.015629102821610112)	(13.0, 0.021092376020230775)	(14.0, 0.032665562674639756)	(15.0, 0.04260385924453186)	(16.0, 0.05967317809433033)	(17.0, 0.07760923048154048)	(18.0, 0.10698269366858652)	(19.0, 0.13761161852463016)	(20.0, 0.18503025076740173)	(21.0, 0.23419846959284546)	(22.0, 0.2988073169942819)	(23.0, 0.36477020305502245)	(24.0, 0.45005789910225935)	(25.0, 0.5919628865443257)	(26.0, 0.6996573184825464)	(27.0, 0.8178548497464404)	(28.0, 0.9418616036466345)	(29.0, 1.07021504483638)	(30.0, 1.197030932969773)	(31.0, 1.3434611622498709)	(32.0, 1.4879465109098968)	(33.0, 1.6225258020157285)	(34.0, 1.7517149776893302)	(35.0, 1.8869204496769827)	(36.0, 2.020850620601362)	(37.0, 2.136510569341203)	(38.0, 2.240806265047599)	(39.0, 2.3432519372378033)	(40.0, 2.421996973041617)	(41.0, 2.492471461356825)	(42.0, 2.5998900017184017)	(43.0, 2.633654170851048)	(44.0, 2.624010365289933)	(45.0, 2.6195806005368527)	(46.0, 2.6305654251547783)	(47.0, 2.662301016222753)	(48.0, 3.0326876278009602)	(49.0, 3.3232014580070053)	(50.0, 2.8577779480383576)	(51.0, 2.423062100521784)	(52.0, 2.329260204424995)	(53.0, 2.2596226905557857)	(54.0, 2.3801556905145507)	(55.0, 2.518451148160615)	(56.0, 2.3987402431021416)	(57.0, 2.226517561301729)	(58.0, 2.2807621851374207)	(59.0, 2.395183411697184)	(60.0, 2.4033256231040707)	(61.0, 2.1822633124459023)	(62.0, 1.915304423074537)	(63.0, 1.6726952902710146)	(64.0, 1.456916458300845)	(65.0, 1.3817945918765977)	(66.0, 1.2636466590983924)	(67.0, 1.0505914039736088)	(68.0, 0.8760103141786937)	(69.0, 0.7997371429053952)	(70.0, 0.7426350263129576)	(71.0, 0.6617907346023656)	(72.0, 0.5691407633356983)	(73.0, 0.4798045908941136)	(74.0, 0.402014325939809)	(75.0, 0.39848787360733573)	(76.0, 0.3959149521622295)	(77.0, 0.38736479321055256)	(78.0, 0.4367152864709027)	(79.0, 0.47190789199138644)	(80.0, 0.3941430462609974)	(81.0, 0.32309817536036883)	(82.0, 0.3081498117548374)	(83.0, 0.2968897155413389)	(84.0, 0.2610696891768919)	(85.0, 0.22039335108244074)	(86.0, 0.19737283393105812)	(87.0, 0.17862460634069396)	(88.0, 0.14669992104603058)	(89.0, 0.11143043787272913)	(90.0, 0.0778479231939178)	(91.0, 0.0357102897148606)	(92.0, 0.021013018443128705)	(93.0, 0.01064259506667298)	(94.0, 0.0036981870891707055)	(95.0, 0.0025704415208217513)	(96.0, 0.001449515744255006)	(97.0, 0.0008840930074027538)	(98.0, 0.0003130904409105124)	(99.0, 0.00018413437811964787)	(100.0, 6.199810711099256e-05)
Quizartinib2_48h_2	(0.0, 0.005970976537632429)	(1.0, 0.009089559677507216)	(2.0, 0.012208142817382004)	(3.0, 0.018424493311610567)	(4.0, 0.024641474587218555)	(5.0, 0.028904925930748834)	(6.0, 0.03300311255286989)	(7.0, 0.03628569885139505)	(8.0, 0.041133253752272426)	(9.0, 0.0440480945065931)	(10.0, 0.04798101640730492)	(11.0, 0.05279198598817568)	(12.0, 0.059427806099721536)	(13.0, 0.06689499606934891)	(14.0, 0.0819902252603569)	(15.0, 0.09533629768622072)	(16.0, 0.1162624699486289)	(17.0, 0.13804145863601905)	(18.0, 0.1704724524777509)	(19.0, 0.20440849069078962)	(20.0, 0.25191389793800845)	(21.0, 0.30109592209173763)	(22.0, 0.3629396208746551)	(23.0, 0.4261653616598916)	(24.0, 0.5034360806393943)	(25.0, 0.6358314151481845)	(26.0, 0.7320495452028407)	(27.0, 0.8323545078147884)	(28.0, 0.9365457145053704)	(29.0, 1.0450785894305312)	(30.0, 1.1550275685525004)	(31.0, 1.2700253218353832)	(32.0, 1.3908477103758718)	(33.0, 1.521941742898909)	(34.0, 1.650430017543544)	(35.0, 1.7671870200936417)	(36.0, 1.8832318704663693)	(37.0, 1.9988496818452262)	(38.0, 2.1115375137166565)	(39.0, 2.2463493716900222)	(40.0, 2.3487939447409776)	(41.0, 2.4122669518269486)	(42.0, 2.5041768450601354)	(43.0, 2.538863513114689)	(44.0, 2.5328843364191242)	(45.0, 2.5157094210201536)	(46.0, 2.4910641617446583)	(47.0, 2.4576832111455134)	(48.0, 2.413941045607941)	(49.0, 2.35875461350347)	(50.0, 2.30039913574877)	(51.0, 2.2556748436034337)	(52.0, 2.226307554921567)	(53.0, 2.1966948922831038)	(54.0, 2.1806913379057247)	(55.0, 2.1748427329557005)	(56.0, 2.3240231599709773)	(57.0, 2.4827473092569465)	(58.0, 2.4041185179675426)	(59.0, 2.317941796691945)	(60.0, 2.310795674444445)	(61.0, 2.187337250519341)	(62.0, 2.075075196079023)	(63.0, 1.9150440677748855)	(64.0, 1.703459808111763)	(65.0, 1.5970545587794007)	(66.0, 1.4518335464827719)	(67.0, 1.5330346642374686)	(68.0, 1.6567763090019343)	(69.0, 1.2312335285635345)	(70.0, 0.8334028664673918)	(71.0, 0.7457999484929156)	(72.0, 0.6268024104831021)	(73.0, 0.5641210340283089)	(74.0, 0.5275483296492758)	(75.0, 0.5158025495830119)	(76.0, 0.5071980607862822)	(77.0, 0.49356876752105666)	(78.0, 0.4782754729769094)	(79.0, 0.45840018249262243)	(80.0, 0.416431774193992)	(81.0, 0.38185801600635505)	(82.0, 0.3711069781754437)	(83.0, 0.3549785290849383)	(84.0, 0.34486079575896916)	(85.0, 0.34013119697604416)	(86.0, 0.34162488728252144)	(87.0, 0.3379240929294378)	(88.0, 0.3052016780904118)	(89.0, 0.2715494914981141)	(90.0, 0.19034837374341726)	(91.0, 0.10890377437626257)	(92.0, 0.08749568513997405)	(93.0, 0.0703737553768751)	(94.0, 0.0693853209553169)	(95.0, 0.07105878395493011)	(96.0, 0.07273918554971702)	(97.0, 0.0799212623358445)	(98.0, 0.08709892365231603)	(99.0, 0.20793392782039324)	(100.0, 0.32877460902088523)
Quizartinib3_48h_1	(0.0, 0.015278003956348922)	(1.0, 0.015540813657432906)	(2.0, 0.01580362335851689)	(3.0, 0.015965981351630992)	(4.0, 0.016127755323187134)	(5.0, 0.016495688904704712)	(6.0, 0.009319816021996028)	(7.0, 0.0024458822847549418)	(8.0, 0.0036921842894509895)	(9.0, 0.005005064751754979)	(10.0, 0.007047388139956515)	(11.0, 0.009808642066012237)	(12.0, 0.013840142880640546)	(13.0, 0.019042606918987497)	(14.0, 0.030481253153278393)	(15.0, 0.040279382831247275)	(16.0, 0.05635983240823929)	(17.0, 0.07349210481112521)	(18.0, 0.102850868529996)	(19.0, 0.13338818775283898)	(20.0, 0.18074707990973082)	(21.0, 0.2296034033412434)	(22.0, 0.2927910317836446)	(23.0, 0.35756719886370897)	(24.0, 0.44097482168595387)	(25.0, 0.5774548195666565)	(26.0, 0.6790710665231158)	(27.0, 0.7926013532620488)	(28.0, 0.9131328904378594)	(29.0, 1.0351980682248845)	(30.0, 1.1549838098711744)	(31.0, 1.2963643326447565)	(32.0, 1.4341192495864952)	(33.0, 1.5598006888604359)	(34.0, 1.6805757630259175)	(35.0, 1.8057794726654433)	(36.0, 1.9306000641629444)	(37.0, 2.039023082377479)	(38.0, 2.1341163925530338)	(39.0, 2.2204487953375645)	(40.0, 2.2871966191973168)	(41.0, 2.361164117556625)	(42.0, 2.479613617878292)	(43.0, 2.522413053732156)	(44.0, 2.524598462402059)	(45.0, 2.5389069905721864)	(46.0, 2.576343356459263)	(47.0, 2.6396653098599963)	(48.0, 3.1017268139178134)	(49.0, 3.4630621198735083)	(50.0, 2.9388747385656697)	(51.0, 2.4550117097490416)	(52.0, 2.3662854025984146)	(53.0, 2.3089590145117445)	(54.0, 2.4704801047332867)	(55.0, 2.64606793819996)	(56.0, 2.512613756011071)	(57.0, 2.312249975990874)	(58.0, 2.393066295160431)	(59.0, 2.5892035111656395)	(60.0, 2.642129296813048)	(61.0, 2.444536115063834)	(62.0, 2.1987529784807447)	(63.0, 1.8839431659187258)	(64.0, 1.6152576239400622)	(65.0, 1.5811577732136362)	(66.0, 1.4678278058690848)	(67.0, 1.1913607606521035)	(68.0, 0.970998330422531)	(69.0, 0.876941658512363)	(70.0, 0.8050877341713278)	(71.0, 0.7234257517858387)	(72.0, 0.626050085361759)	(73.0, 0.5181100529756612)	(74.0, 0.4235166652537238)	(75.0, 0.4124745696572908)	(76.0, 0.409337205847906)	(77.0, 0.4048414078946959)	(78.0, 0.45880558387216525)	(79.0, 0.49955802416536366)	(80.0, 0.4256611924145692)	(81.0, 0.3576962676280191)	(82.0, 0.345408454048448)	(83.0, 0.3373775736048794)	(84.0, 0.304648421474996)	(85.0, 0.2660983264768813)	(86.0, 0.23526841245349817)	(87.0, 0.20947334828132616)	(88.0, 0.1772604712086833)	(89.0, 0.14164450051778182)	(90.0, 0.10018714620412036)	(91.0, 0.04613244688516657)	(92.0, 0.027444341051863472)	(93.0, 0.014531040383712442)	(94.0, 0.005189615564071732)	(95.0, 0.003536250533474492)	(96.0, 0.0018828855028772522)	(97.0, 0.0011148971541540553)	(98.0, 0.0003457407623149297)	(99.0, 0.00020148743749772086)	(100.0, 6.307432826015609e-05)
Quizartinib3_48h_2	(0.0, 0.0028100153372393366)	(1.0, 0.004165847737457317)	(2.0, 0.005521680137675297)	(3.0, 0.008755539454948233)	(4.0, 0.011988813352359245)	(5.0, 0.014407768221832772)	(6.0, 0.016792183319452737)	(7.0, 0.01826568511191761)	(8.0, 0.020966226934977)	(9.0, 0.023241753938278938)	(10.0, 0.02623149317312921)	(11.0, 0.029614634555192986)	(12.0, 0.034502890402265576)	(13.0, 0.040698388801016394)	(14.0, 0.054182364480731736)	(15.0, 0.06637958730393623)	(16.0, 0.08562116732568259)	(17.0, 0.105438800491563)	(18.0, 0.1362166643124007)	(19.0, 0.16850783847631415)	(20.0, 0.21261688339290477)	(21.0, 0.25809756704598535)	(22.0, 0.31593060978568055)	(23.0, 0.3752506189746649)	(24.0, 0.4473924939795275)	(25.0, 0.569742318022514)	(26.0, 0.6589538653613818)	(27.0, 0.7528165735032425)	(28.0, 0.8489243668155853)	(29.0, 0.9472526576642089)	(30.0, 1.0467716925119877)	(31.0, 1.1512199625971737)	(32.0, 1.2600524420283152)	(33.0, 1.3782217828372962)	(34.0, 1.496104267913934)	(35.0, 1.6028977299659912)	(36.0, 1.708960588030366)	(37.0, 1.8138133832401422)	(38.0, 1.9215019522610826)	(39.0, 2.0622444975260246)	(40.0, 2.168357701698525)	(41.0, 2.2429454608865096)	(42.0, 2.360193350832821)	(43.0, 2.4179122366994408)	(44.0, 2.438377929652472)	(45.0, 2.448734007009923)	(46.0, 2.4508268830163042)	(47.0, 2.442220040206285)	(48.0, 2.421876700004396)	(49.0, 2.38430796578523)	(50.0, 2.333773352464152)	(51.0, 2.2997288458137732)	(52.0, 2.280518878464571)	(53.0, 2.2574041606363298)	(54.0, 2.2443973021440833)	(55.0, 2.2443633477920915)	(56.0, 2.4331717908203743)	(57.0, 2.6268878085511727)	(58.0, 2.5626309536665763)	(59.0, 2.5322628837490857)	(60.0, 2.567119953167816)	(61.0, 2.4489160725869814)	(62.0, 2.3477315182320266)	(63.0, 2.1664451350096163)	(64.0, 1.9301620682785372)	(65.0, 1.8251348179499072)	(66.0, 1.6597490235972383)	(67.0, 1.8205363449344876)	(68.0, 2.030231397796525)	(69.0, 1.4547683568832817)	(70.0, 0.9064008888593681)	(71.0, 0.7890605025748726)	(72.0, 0.6579287951831514)	(73.0, 0.602099059210963)	(74.0, 0.5641527291808555)	(75.0, 0.5502665700559977)	(76.0, 0.5366040413183953)	(77.0, 0.5185690116320761)	(78.0, 0.5073781255515204)	(79.0, 0.48975932938702976)	(80.0, 0.43270957842259006)	(81.0, 0.38419290736556716)	(82.0, 0.3798889005406955)	(83.0, 0.37002984464601896)	(84.0, 0.3558509755901988)	(85.0, 0.3484641477724309)	(86.0, 0.35910356834305335)	(87.0, 0.36201544673626757)	(88.0, 0.3299063381494128)	(89.0, 0.29792250941300985)	(90.0, 0.19258791365686947)	(91.0, 0.0856451695400215)	(92.0, 0.053376826750723125)	(93.0, 0.023392792262655553)	(94.0, 0.018739289780214826)	(95.0, 0.018238170378407144)	(96.0, 0.017738221816323313)	(97.0, 0.0204340802804873)	(98.0, 0.02312759706520359)	(99.0, 0.094258451968522)	(100.0, 0.16539633191018352)
Untreated1_1	(0.0, 0.012880927214083668)	(1.0, 0.010158945191169829)	(2.0, 0.007436963168255992)	(3.0, 0.005626209770949058)	(4.0, 0.0038154563736421255)	(5.0, 0.004711637187083045)	(6.0, 0.005607818000523965)	(7.0, 0.007458698896940193)	(8.0, 0.00930957979335642)	(9.0, 0.012904334921897423)	(10.0, 0.01649909005043843)	(11.0, 0.024238681441143686)	(12.0, 0.03197827283184894)	(13.0, 0.04059732524469958)	(14.0, 0.049216377657550214)	(15.0, 0.06559341323153121)	(16.0, 0.08197044880551219)	(17.0, 0.111295290758759)	(18.0, 0.14062013271200582)	(19.0, 0.1875977303150833)	(20.0, 0.2345753279181608)	(21.0, 0.2957112447903011)	(22.0, 0.35684716166244146)	(23.0, 0.43896140067309536)	(24.0, 0.5210756396837491)	(25.0, 0.6201136514437482)	(26.0, 0.8333060382740433)	(27.0, 0.9474604133443396)	(28.0, 1.0878381090825602)	(29.0, 1.2282158048207807)	(30.0, 1.394701454666986)	(31.0, 1.5611871045131918)	(32.0, 1.7598148811459424)	(33.0, 1.958442657778693)	(34.0, 2.119909026277978)	(35.0, 2.281375394777262)	(36.0, 2.4752664545359866)	(37.0, 2.669157514294711)	(38.0, 2.71684068709046)	(39.0, 2.7645238598862094)	(40.0, 2.9367176464807123)	(41.0, 3.108911433075215)	(42.0, 3.1641218559122155)	(43.0, 3.219332278749217)	(44.0, 3.242706546980381)	(45.0, 3.266080815211546)	(46.0, 3.180241406700246)	(47.0, 3.0944019981889457)	(48.0, 3.0546774460498733)	(49.0, 3.014952893910801)	(50.0, 2.9785823319056135)	(51.0, 2.9422117699004264)	(52.0, 2.8190153316975026)	(53.0, 2.6958188934945784)	(54.0, 2.596951423605794)	(55.0, 2.4980839537170096)	(56.0, 2.338205965390801)	(57.0, 2.1783279770645927)	(58.0, 2.0400452711757033)	(59.0, 1.9017625652868142)	(60.0, 1.7596108996921367)	(61.0, 1.6174592340974598)	(62.0, 1.4952074641027335)	(63.0, 1.3729556941080074)	(64.0, 1.2186236605545295)	(65.0, 1.0642916270010518)	(66.0, 0.9571946758366028)	(67.0, 0.8500977246721537)	(68.0, 0.7324104577011099)	(69.0, 0.6147231907300662)	(70.0, 0.5216340807130202)	(71.0, 0.4285449706959742)	(72.0, 0.3662704360366076)	(73.0, 0.303995901377241)	(74.0, 0.30177551309319334)	(75.0, 0.225983027171383)	(76.0, 0.15241092953362032)	(77.0, 0.1303006775243988)	(78.0, 0.10819042551517732)	(79.0, 0.08561870726619893)	(80.0, 0.06304698901722053)	(81.0, 0.05101877115920938)	(82.0, 0.03899055330119823)	(83.0, 0.03234945219860992)	(84.0, 0.02570835109602161)	(85.0, 0.021794247953735805)	(86.0, 0.017880144811449995)	(87.0, 0.016270028909689534)	(88.0, 0.014659913007929076)	(89.0, 0.012317470247423986)	(90.0, 0.009975027486918895)	(91.0, 0.008187681797425718)	(92.0, 0.006400336107932539)	(93.0, 0.004057893347427449)	(94.0, 0.0017154505869223578)	(95.0, 0.0011770733072059842)	(96.0, 0.0006386960274896108)	(97.0, 0.0003661634293723161)	(98.0, 9.363083125502148e-05)	(99.0, 5.183135301617261e-05)	(100.0, 1.003187477732373e-05)
Untreated2_1	(0.0, 0.012848479972857072)	(1.0, 0.010685883038234489)	(2.0, 0.008523286103611907)	(3.0, 0.006007421389694883)	(4.0, 0.00349155667577786)	(5.0, 0.004104635149897313)	(6.0, 0.0047177136240167655)	(7.0, 0.006502743937382856)	(8.0, 0.008287774250748947)	(9.0, 0.011452231130883806)	(10.0, 0.014616688011018664)	(11.0, 0.021639053338051547)	(12.0, 0.02866141866508443)	(13.0, 0.03662583140356915)	(14.0, 0.04459024414205387)	(15.0, 0.06062561069531847)	(16.0, 0.07666097724858306)	(17.0, 0.10367568208531615)	(18.0, 0.13069038692204923)	(19.0, 0.17525820136383044)	(20.0, 0.21982601580561165)	(21.0, 0.2827562782039462)	(22.0, 0.3456865406022808)	(23.0, 0.4240091848127303)	(24.0, 0.5023318290231799)	(25.0, 0.6021140889694996)	(26.0, 0.8128429921728569)	(27.0, 0.9237896354298947)	(28.0, 1.0640799340686438)	(29.0, 1.2043702327073926)	(30.0, 1.3620846701746219)	(31.0, 1.519799107641851)	(32.0, 1.7216570643873705)	(33.0, 1.9235150211328897)	(34.0, 2.076928563572836)	(35.0, 2.230342106012782)	(36.0, 2.430914093276002)	(37.0, 2.631486080539222)	(38.0, 2.6740053156894334)	(39.0, 2.7165245508396447)	(40.0, 2.8918481721626037)	(41.0, 3.0671717934855627)	(42.0, 3.150771024685156)	(43.0, 3.23437025588475)	(44.0, 3.2573083626969264)	(45.0, 3.280246469509103)	(46.0, 3.198305166987997)	(47.0, 3.116363864466891)	(48.0, 3.0895528960743013)	(49.0, 3.062741927681712)	(50.0, 3.035987033539804)	(51.0, 3.0092321393978954)	(52.0, 2.894324784901044)	(53.0, 2.7794174304041914)	(54.0, 2.672620281697596)	(55.0, 2.5658231329910013)	(56.0, 2.3930490209323683)	(57.0, 2.2202749088737352)	(58.0, 2.0706146029460815)	(59.0, 1.9209542970184272)	(60.0, 1.7760584332570248)	(61.0, 1.6311625694956224)	(62.0, 1.505016066020477)	(63.0, 1.3788695625453313)	(64.0, 1.2194355147238645)	(65.0, 1.0600014669023978)	(66.0, 0.9574921292312601)	(67.0, 0.8549827915601225)	(68.0, 0.7343558634937414)	(69.0, 0.6137289354273602)	(70.0, 0.5164681476200256)	(71.0, 0.4192073598126911)	(72.0, 0.3589013723462581)	(73.0, 0.29859538487982507)	(74.0, 0.3008009720733036)	(75.0, 0.2262839003424492)	(76.0, 0.1495612414181163)	(77.0, 0.12980067547790028)	(78.0, 0.11004010953768424)	(79.0, 0.08548519516418653)	(80.0, 0.0609302807906888)	(81.0, 0.049055623638003185)	(82.0, 0.03718096648531756)	(83.0, 0.03163709223459104)	(84.0, 0.026093217983864523)	(85.0, 0.022254000953860386)	(86.0, 0.018414783923856252)	(87.0, 0.016244710422476116)	(88.0, 0.014074636921095979)	(89.0, 0.012571847002827563)	(90.0, 0.011069057084559146)	(91.0, 0.008880292166285124)	(92.0, 0.006691527248011103)	(93.0, 0.004334539577692108)	(94.0, 0.0019775519073731134)	(95.0, 0.0013308288828446663)	(96.0, 0.0006841058583162188)	(97.0, 0.00040747288828670963)	(98.0, 0.00013083991825720034)	(99.0, 7.102738419676588e-05)	(100.0, 1.1214850136331457e-05)
