0	0
0	0
5	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
47	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	14
0	0
44	27
1348	1192
72	56
0	0
11	3
1	0
2323	2313
7	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	0
0	0
1	0
29	27
1	0
0	0
0	0
0	0
0	0
0	0
194	144
2	0
2	1
0	0
1343	1075
348	158
15	5
0	0
0	0
2	0
1	0
0	0
62	42
0	0
0	0
1	0
863	737
0	0
6	7
2	3
3	0
8	9
0	0
0	0
217	182
7	7
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
5	0
1210	1003
523	385
6	8
4	10
553	468
26	9
66	42
707	648
0	0
137	104
877	743
0	0
19	21
76	79
1	3
415	294
0	0
1	0
260	200
806	657
1	2
1776	1831
174	192
828	743
0	0
1	7
44	26
5	5
0	2
0	0
3	0
32	6
2	0
569	476
4	0
0	0
607	503
0	0
0	0
1588	1482
17	12
0	0
476	418
43	65
55	41
284	238
0	0
366	288
1	4
211	153
35	10
5	1
0	2
0	0
0	0
37	34
8	5
219	178
4	13
0	0
0	0
896	706
2	2
4280	3783
0	0
0	0
1	0
0	0
5	4
10	7
0	1
0	0
17	3
0	0
0	0
1	0
1	0
1	0
2	1
167	178
4	1
0	0
1	0
925	611
4	2
1	0
54	42
0	0
33	26
0	0
5	9
0	0
1163	1103
79	53
1	0
0	0
0	0
211	184
0	0
10	4
5	4
0	0
264	214
0	0
0	1
0	0
0	1
199	182
0	0
1	0
29	28
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
65	26
0	0
6	2
54	30
633	524
276	237
100	51
4	4
0	0
19	26
0	0
0	0
0	1
0	0
5	4
546	479
0	1
7	9
371	309
191	164
341	281
12	17
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
404	337
0	0
4295	3469
4	0
0	0
1772	1550
0	0
1	0
798	703
3	9
0	0
62	43
571	478
3	3
1	0
25	21
0	0
1	0
9	0
21	2
0	0
0	0
0	0
