gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000310526.1,26.614971976720096,1.2723635851785489,0.6212735127928724,2.0479926457169677,0.04056072001018497,0.06681612801441078
ENSG00000308415.1,3.867990699841171,3.7489450688478154,2.5930836841931195,1.4457478143496016,0.14824794799231228,
ENSG00000310527.1,94.39943735438735,0.2000337710934784,0.3522250573520161,0.567914652629507,0.5700929219917503,0.6330891279922349
ENSG00000292994.2,3.0170261481525076,3.3913196973231945,2.642426892183266,1.2834109838025327,0.19934812776539557,
ENSG00000286448.2,1.3589382990960517,2.239837833016789,2.9388472438703297,0.7621484368364186,0.44597141676205165,
ENSG00000290385.2,6.035387110467601,4.391602377656229,2.516449694986291,1.7451580241822213,0.08095736565399955,0.11727432840285508
ENSG00000225880.7,121.62045505527014,1.7528049815358924,0.3579690437783116,4.89652670251955,9.75453985804338e-07,4.2594824046789415e-06
ENSG00000225972.1,39.826342475148195,-3.9980077852713327,0.49844088112036805,-8.021027039926642,1.0486463872367854e-15,1.1509785630243082e-14
ENSG00000225630.1,1969.963983177243,-1.6115566695556685,0.1631087650745562,-9.88025792984843,5.070223532121058e-23,9.331725459531898e-22
ENSG00000237973.1,217.2153460980825,0.6007783652697793,0.22045804677598366,2.7251369321994154,0.00642748239680242,0.01383663924376896
ENSG00000229344.1,10.18985309300013,-1.7254850564048556,0.8490052464488338,-2.032360887782622,0.0421171345957681,0.06896680790057026
ENSG00000248527.1,4572.6920621542395,-0.7579389274461638,0.210190933967501,-3.605954420295567,0.00031100772726490094,0.0009028995028274468
ENSG00000198744.5,15.720342795037345,-0.7901051324301147,0.6504320821746483,-1.2147388698732153,0.2244657024844291,0.2856812889660667
ENSG00000229376.3,2.81424421318862,3.2906128003871475,2.6949289236999854,1.221038807906415,0.22207132653758221,
ENSG00000237491.11,62.59988665152849,2.100097814178987,1.590170142210231,1.3206749129750295,0.18660978239749315,0.24357049900317504
ENSG00000177757.3,5.512330246985676,2.6963959048305486,1.7112628647989025,1.5756760462089576,0.115100480559977,
ENSG00000228794.13,166.12465677042252,1.647928442733913,0.2743338188463408,6.007018929215382,1.8896546204162053e-09,1.1529481752512026e-08
ENSG00000297178.1,9.900984243076772,3.5999635545073243,1.597877028095731,2.252966587045549,0.024261255799690767,0.04341139053986127
ENSG00000230368.3,1.452987290395082,2.3376510867520337,2.8979051935086373,0.8066692768239682,0.41985704928220946,
ENSG00000272438.2,316.1628108080742,-0.8896576598669473,0.2291202020626674,-3.882929797799385,0.00010320537190713733,0.0003266141299377502
ENSG00000298603.1,2.4170585286769626,-0.04774995391239118,1.66502936276414,-0.02867814525091664,0.9771212867610999,
ENSG00000223764.3,13.300776619082066,2.3398890237816037,1.0898457379645778,2.1469910302641884,0.031793995717003934,0.05449909826182863
ENSG00000187634.14,14.30716474534979,5.636219291170388,2.438253523207574,2.3115804970747345,0.020800812425522102,0.03812626277501047
ENSG00000188976.12,2010.5457886774766,-1.3109450930648534,0.1416864994932876,-9.252434760920602,2.1943612723109487e-20,3.3725621486794223e-19
ENSG00000187961.16,397.27419354271893,-1.4553421546754228,0.259010276727202,-5.618858730490592,1.922229421342585e-08,1.0474198486248927e-07
ENSG00000187583.12,24.95958527357629,-0.033847654090383116,0.58830191882424,-0.05753449548155456,0.9541194281873835,0.9637263999334648
ENSG00000187608.11,122.67109783091323,-0.2201797989764706,0.2965403643587043,-0.7424952061842562,0.4577873552037727,0.5265429397989886
ENSG00000188157.16,3178.03508944057,0.9124258791950578,0.1420105899499823,6.425055198463891,1.3182167447309958e-10,9.069103152659646e-10
ENSG00000291156.2,12.881286504661968,-0.7548072250176963,0.6908908555407651,-1.0925129764916388,0.2746076899209142,0.3406401857371336
ENSG00000273443.2,6.008919468426209,-0.2348886900881728,1.101382687298456,-0.21326709852714615,0.8311186347794236,
ENSG00000217801.13,4.891636412661208,0.6056420712378011,1.2764454630755897,0.4744754780031959,0.6351608806340809,
ENSG00000304119.1,17.288830339257647,-0.6742519835352867,0.6446072738169364,-1.0459887918155408,0.2955662071905638,0.363079013411322
ENSG00000131591.19,354.9801029082547,-1.0719444044967659,0.19101886436926754,-5.611720120084788,2.003252553005763e-08,1.0889049147043774e-07
ENSG00000285812.1,15.602347176079897,-0.40412266326542023,0.7015719255085339,-0.5760245650828919,0.5645985776598003,0.6280210940754084
ENSG00000304965.1,5.2923524324174,0.7710810472019944,1.3546932090247699,0.5691923765950581,0.5692255935990471,
ENSG00000186827.12,18.25956637303979,2.0535168541406326,0.8348182654114188,2.4598369959342103,0.01390001314618577,0.0270446699952435
ENSG00000078808.21,2348.797225202474,-0.5209319676123243,0.1531083901332469,-3.4023737507720413,0.0006680321178288638,0.001812730018770415
ENSG00000176022.7,863.077424364373,-0.8368750186659819,0.15251398007240938,-5.487202014324568,4.083500516737756e-08,2.135232601731623e-07
ENSG00000184163.3,20.13932405728988,0.21130035526727275,0.6029688979928449,0.35043325778600964,0.7260135707068649,0.7733079309183988
ENSG00000260179.1,10.70450305040659,-1.8411324742736943,0.8652552560279065,-2.1278489341118934,0.03334961066964843,0.05670299508421671
ENSG00000160087.22,1033.4845372531502,-0.6603429380525392,0.14188247774026685,-4.654154259001435,3.2531319587766283e-06,1.3148321002169785e-05
ENSG00000230415.2,73.57987113531568,1.0596251405410604,0.3850682433812829,2.751785323132585,0.005927136169750979,0.012897920900953127
ENSG00000162572.21,208.1856302312445,0.8688646065387865,0.2446455193281841,3.5515247077680283,0.0003830060305564001,0.0010893415454011535
ENSG00000131584.20,1282.3825063226457,-0.8771533496664937,0.18256036002811812,-4.804730608174708,1.549600044152423e-06,6.582031848803064e-06
ENSG00000169972.14,209.05511858549107,-1.1481313591352733,0.2709345144032333,-4.23767109061086,2.258503022840092e-05,8.007779385233059e-05
ENSG00000127054.23,1616.4791711361954,-0.7032418899427858,0.13355133798960422,-5.265704563720109,1.3965271547679512e-07,6.856406467522546e-07
ENSG00000240731.1,41.47850097924027,-0.6153313259793473,0.42603910691399655,-1.4443071445635216,0.1486525969608504,0.19953549118908673
ENSG00000224051.8,272.1382704188976,0.6544632084497672,0.20970835196989465,3.1208256719490164,0.0018034476066788277,0.004456094330493454
ENSG00000169962.5,41.78093242605898,3.6575961519539453,0.8165357804248997,4.479407075156764,7.4850666595805e-06,2.8514162640881193e-05
ENSG00000107404.22,762.8655538522521,-0.46677599496343003,0.1689267028948564,-2.7631865594035863,0.005724003943268855,0.012514585491517514
ENSG00000304860.1,10.983747629833292,3.7551220350849515,1.5650478365983713,2.399365659804177,0.01642350498679806,0.031207462120818496
ENSG00000162576.18,423.36475731072477,-0.9462267356976704,0.2545873944518986,-3.716706939614204,0.00020183633147740626,0.0006067622977864251
ENSG00000175756.15,1428.5180370056264,-0.7646118473287322,0.15394275371243824,-4.966858321613571,6.804626312141547e-07,3.035637579555133e-06
ENSG00000223663.2,2.858377490136178,-0.9299025435561485,1.4519752010443412,-0.6404396871842652,0.5218867881872136,
ENSG00000221978.14,4281.112355267346,-0.2426768737775633,0.15096339989106564,-1.6075212531824112,0.10794007100956732,0.1504930433470897
ENSG00000224870.10,396.4598919749283,-0.4933537017429294,0.22433044284467565,-2.199227601420655,0.02786174265923902,0.048711022846699085
